"State","Drunk_Driving","Seatbelt","Pneumonia_Vaccine","Flu_Shot","Maximum_Alcohol","Average_Alcohol","Smoker","BMI","Diabetes","Kidney_Disease","COPD","Asthma","Stroke","Heart_Disease","Heart_Attack","Excercise","Medical_Cost","Poor_Health","Mental_Health","Physical_Health","General_Health","Margin","Gov_Male","Gov_Rep"
"MD",0.0507203473455694,1.11921161386034,0.56832298136646,0.52506345177665,3.3478522681654,2.39146049481245,0.424358841241823,28.2640448587477,0.19925792218211,0.0493467336683417,0.0965538028735055,0.130587644399799,0.056336613777867,0.076044089392254,0.0670087533957139,0.746516989074872,0.0476477078944729,5.94321638612857,3.4946182476612,5.20476717288545,2.57237369687249,-0.280324993695388,TRUE,TRUE
"ME",0.0364630811303555,1.18061389337641,0.590516511430991,0.442993065634575,3.90034045187249,2.85462962962963,0.504400704112658,27.9097479206714,0.17689417658109,0.0507143978646569,0.110848312835068,0.143418158969526,0.0589618943076682,0.0904626108998733,0.0884246898068164,0.743376704812667,0.0596639974878317,7.5033887861984,4.30903652392947,6.76502903782766,2.60348344578691,-0.0319358225832506,FALSE,FALSE
"MI",0.0341167551175133,1.12537764350453,0.61578318055002,0.522247360482655,3.57608695652174,2.42206790123457,0.458490566037736,28.3814124453637,0.195780903034789,0.0600667408231368,0.116815476190476,0.130660727542687,0.0552056317154502,0.100261878039656,0.0874255952380952,0.733432062199185,0.0577777777777778,6.77269528501056,3.55085374907201,6.44238606891441,2.64171915524268,0.00235336433923096,FALSE,FALSE
"MN",0.0337387210670851,1.12724820143885,0.517233238904627,0.537219730941704,4.25009940357853,2.82369255150555,0.429241071428571,27.9670282006183,0.164832746478873,0.0419148466799029,0.0647943387881468,0.102027324812693,0.0433825148645673,0.065067732622696,0.0634920634920635,0.761003521126761,0.055726872246696,6.0135577372604,2.98436467738384,5.31353135313531,2.52412425644415,-0.0166371386723069,TRUE,FALSE
"MO",0.0409698996655518,1.30065146579805,0.594766856759477,0.543386415339617,5.58421985815603,3.10167992926614,0.455076224456698,28.2330580736982,0.228462029355456,0.0506410256410256,0.13952,0.125278928912974,0.0792585490572068,0.0821785368997744,0.0982085732565579,0.662097545425566,0.0721123165283982,8.55514479359211,4.79509241555131,7.82729007633588,2.81577266922095,0.196371219911321,TRUE,TRUE
"MS",0.0367647058823529,1.183970856102,0.513819095477387,0.507016473459426,6.85082872928177,5.04132231404959,0.41140404659718,29.3101642212715,0.279473369239976,0.0461630695443645,0.131815458358298,0.129263913824057,0.0730101735487732,0.107513744654856,0.0965018094089264,0.590800477897252,0.0918367346938776,10.5767494356659,6.33831440526001,10.1469534050179,3.03072289156627,0.181796946481201,TRUE,TRUE
"MT",0.119354838709677,1.4494691309477,0.512325390304026,0.463990554899646,6.25733445096396,3.99665551839465,0.472135007849294,28.1666861885382,0.192292870905588,0.0412967966036279,0.0885880077369439,0.12369540007731,0.0601387818041635,0.071733229934083,0.0810185185185185,0.701463790446841,0.0831078469269424,7.60520446096654,4.62751159196291,6.71736619175972,2.6979528775589,0.222193286340489,TRUE,FALSE
"NC",0.0588235294117647,1.07157464212679,0.6008537886873,0.589613034623218,4.68,3.33846153846154,0.455927051671733,28.0086658097549,0.245544554455446,0.0577689243027888,0.142714570858283,0.149653121902874,0.0784508440913605,0.104208416833667,0.0865671641791045,0.709036742800397,0.0882936507936508,9.33333333333333,4.66831683168317,7.86111111111111,2.82604373757455,0.0380749160743743,TRUE,FALSE
"ND",0.0984943538268507,1.44554783184376,0.532530120481928,0.51325381047051,4.40738383195417,2.40621039290241,0.422721268163805,28.5086194645614,0.192357512953368,0.0487329434697856,0.0796084828711256,0.105878531990906,0.0515898767034393,0.0793702853394556,0.0851755526657997,0.730009711880868,0.0398445092322643,5.57142857142857,3.14396887159533,5.04737183646983,2.61491085899514,0.396184857930395,TRUE,TRUE
"NE",0.104294478527607,1.4445538703959,0.546283167915738,0.500391849529781,3.66091245376079,2.24979591836735,0.387184466019417,28.7054321047607,0.175609756097561,0.0451552210724365,0.092177191328935,0.103720405862458,0.0498307634449041,0.0745164960182025,0.0713747645951036,0.698630136986301,0.0568586976918746,6.01150369761709,3.01881821603312,5.09253338348693,2.58419373005444,0.270953482263551,TRUE,TRUE
"NH",0.0128686327077748,1.44595020485345,0.560555923229649,0.448568732305757,3.65952773201538,2.56424275560416,0.477607265894143,27.8781073494867,0.169273229070837,0.0380601596071209,0.0992929603442976,0.132411674347158,0.0377648142462389,0.0682941903584672,0.0698031980319803,0.75835633241337,0.048683404776485,6.138671875,3.51783517835178,5.21577655003069,2.46903740036787,-0.00394056884761405,TRUE,TRUE
"NJ",0.0271493212669683,1.1830624465355,0.469333333333333,0.536895674300254,4.12480739599384,2.85429447852761,0.429661016949153,28.0545296014448,0.209053497942387,0.0337726523887974,0.0718414533443435,0.133114215283484,0.0493421052631579,0.0780082987551867,0.0691358024691358,0.709465020576132,0.0734323432343234,6.69158878504673,4.24174917491749,6.29358552631579,2.61266447368421,-0.145683802858026,TRUE,FALSE
